date,temperature,rainfall,humidity,Household_ID,Bathroom_Liters,Kitchen_Liters,Laundry_Liters,Gardening_Liters,Total_Liters,is_weekend,is_public_holiday,festival_name
2020-01-01,16.2,11.6,66.8,16.0,315.38574922912966,190.5034457585408,155.97432646700634,90.66092789278093,752.5244493474578,0.0,1.0,New Year
2020-01-02,25.7,16.7,48.6,17.0,277.75632709589047,138.1080071262328,165.65793292534562,77.59920308481513,659.1214702322841,0.0,0.0,
2020-01-03,21.9,17.7,67.0,19.0,324.332633694922,142.18427018339776,149.56365434278584,75.96613053052015,692.0466887516257,0.0,0.0,
2020-01-04,24.2,19.6,61.9,11.0,399.0,182.72332542928058,63.0,0.0,644.7233254292805,1.0,0.0,
2020-01-05,23.6,0.8,54.9,16.0,299.2812351656404,164.58742199090656,172.12356586286873,111.2317167343047,747.2239397537204,1.0,0.0,
2020-01-06,15.3,1.8,52.6,5.0,272.0748230833645,174.61336098277275,248.99601874783,79.42414775535526,775.1083505693225,0.0,0.0,
2020-01-07,25.2,3.0,50.7,5.0,379.5356410269271,151.49607628567327,133.0069694099021,89.87010160428514,753.9087883267878,0.0,0.0,
2020-01-08,24.1,12.9,46.3,14.0,331.42890592632097,120.27230616718121,116.41330906087194,49.39651666249304,617.5110378168672,0.0,0.0,
2020-01-09,22.7,15.9,52.4,18.0,258.1285050615049,154.07778296773233,166.07310437633086,61.00822758426857,639.2876199898366,0.0,0.0,
2020-01-10,27.4,8.9,64.3,8.0,318.1026199483608,101.83127723986831,163.3241443870574,60.06481599585026,643.3228575711369,0.0,0.0,
2020-01-11,16.4,6.6,52.5,5.0,284.3361734497585,159.8279166753848,223.31831708943585,122.0307637316024,789.5131709461816,1.0,0.0,
2020-01-12,23.3,6.5,51.6,7.0,284.1854570582847,154.41424617131293,101.7793785778921,67.33157776567583,607.7106595731657,1.0,0.0,
2020-01-13,26.6,11.8,60.3,16.0,300.28891244199616,134.30626641263447,182.2156197262389,146.0,762.8107985808695,0.0,0.0,
2020-01-14,17.8,17.7,51.6,14.0,172.56720801516767,137.06846453965122,175.8602612133202,89.95959797451118,575.4555317426502,0.0,0.0,
2020-01-15,24.4,1.7,61.7,5.0,183.72974223021725,76.21104249474111,142.83106274601994,29.361475506712573,432.13332297769085,0.0,0.0,
2020-01-16,23.5,7.8,67.6,9.0,252.62831064392907,122.48376511917256,164.5103387363337,70.09541854412714,609.7178330435625,0.0,0.0,
2020-01-17,23.4,14.2,42.7,4.0,225.92867246406337,144.7526453905673,195.65497814303956,51.519510277605214,617.8558062752755,0.0,0.0,
2020-01-18,27.4,3.5,49.8,4.0,335.0298526749892,161.78647476641896,207.42693219851483,0.0,704.2432596399229,1.0,0.0,
2020-01-19,25.6,15.1,69.3,16.0,255.35360047791866,116.44534917888285,107.47536635671158,144.60160103467834,623.8759170481914,1.0,0.0,
2020-01-20,21.3,15.4,54.5,17.0,202.25555051460924,185.46270377840096,186.2183356695666,99.62805880479068,673.5646487673675,0.0,0.0,
2020-01-21,18.2,19.0,68.8,15.0,372.80572850786444,111.46508154226814,146.323395630846,93.59378777284854,724.1879934538272,0.0,0.0,
2020-01-22,16.4,11.3,54.3,4.0,272.5702834714637,175.17984765163652,152.52566232898926,80.5333586277567,680.8091520798462,0.0,0.0,
